Title,Year,Rating,Votes
The Shawshank Redemption,1994,9.3,3208129
The Godfather,1972,9.2,2237562
The Dark Knight,2008,9.1,3189287
The Lord of the Rings: The Return of the King,2003,9.0,2175634
Schindler's List,1993,9.0,1592003
The Godfather Part II,1974,9.0,1501426
12 Angry Men,1957,9.0,991632
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2218011
Inception,2010,8.8,2835072
Fight Club,1999,8.8,2630140
Forrest Gump,1994,8.8,2510493
Pulp Fiction,1994,8.8,2448278
The Lord of the Rings: The Two Towers,2002,8.8,1967281
"The Good, the Bad and the Ugly",1966,8.8,894213
Interstellar,2014,8.7,2559295
The Matrix,1999,8.7,2259921
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1512325
GoodFellas,1990,8.7,1400314
Seven,1995,8.6,2036084
The Silence of the Lambs,1991,8.6,1733459
Saving Private Ryan,1998,8.6,1648925
Star Wars: Episode IV - A New Hope,1977,8.6,1577628
The Green Mile,1999,8.6,1570682
Terminator 2: Judgment Day,1991,8.6,1289994
One Flew Over the Cuckoo's Nest,1975,8.6,1160453
Spirited Away,2001,8.6,975071
City of God,2002,8.6,875224
Life Is Beautiful,1997,8.6,816668
It's a Wonderful Life,1946,8.6,555949
Seven Samurai,1954,8.6,403352
Jai Bhim,2021,8.6,235215
Django Unchained,2012,8.5,1895407
Gladiator,2000,8.5,1861351
The Prestige,2006,8.5,1600592
The Departed,2006,8.5,1563347
Back to the Future,1985,8.5,1462022
Léon: The Professional,1994,8.5,1356976
American History X,1998,8.5,1278527
The Lion King,1994,8.5,1266562
The Usual Suspects,1995,8.5,1244326
Parasite,2019,8.5,1177595
Whiplash,2014,8.5,1166019
The Intouchables,2011,8.5,1033395
The Pianist,2002,8.5,1016946
Psycho,1960,8.5,789066
Casablanca,1942,8.5,657238
The Kashmir Files,2022,8.5,579396
Spider-Man: Across the Spider-Verse,2023,8.5,535097
Grave of the Fireflies,1988,8.5,390269
Once Upon a Time in the West,1968,8.5,385610
Cinema Paradiso,1988,8.5,318222
Modern Times,1936,8.5,286231
City Lights,1931,8.5,217181
The Dark Knight Rises,2012,8.4,2006680
Inglourious Basterds,2009,8.4,1798563
Avengers: Endgame,2019,8.4,1459914
Memento,2000,8.4,1442977
Avengers: Infinity War,2018,8.4,1384639
WALL·E,2008,8.4,1329876
The Shining,1980,8.4,1233012
Good Will Hunting,1997,8.4,1227041
Raiders of the Lost Ark,1981,8.4,1114393
Alien,1979,8.4,1069120
Aliens,1986,8.4,843138
Spider-Man: Into the Spider-Verse,2018,8.4,798907
Dune: Part Two,2024,8.4,773900
Apocalypse Now,1979,8.4,773489
Coco,2017,8.4,715974
Rear Window,1954,8.4,570595
3 Idiots,2009,8.4,485657
Amadeus,1984,8.4,470314
The Lives of Others,2006,8.4,444843
Your Name.,2016,8.4,398075
Sunset Boulevard,1950,8.4,262303
The Great Dictator,1940,8.4,259083
Paths of Glory,1957,8.4,240431
Joker,2019,8.3,1706476
American Beauty,1999,8.3,1282591
Up,2009,8.3,1244470
Star Wars: Episode VI - Return of the Jedi,1983,8.3,1215560
Eternal Sunshine of the Spotless Mind,2004,8.3,1187686
Toy Story,1995,8.3,1186517
Braveheart,1995,8.3,1165731
Scarface,1983,8.3,1023755
Toy Story 3,2010,8.3,980622
Requiem for a Dream,2000,8.3,978350
Heat,1995,8.3,810779
2001: A Space Odyssey,1968,8.3,786941
Oldboy,2003,8.3,724667
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,552030
Princess Mononoke,1997,8.3,486402
The Hunt,2012,8.3,413214
Once Upon a Time in America,1984,8.3,409740
North by Northwest,1959,8.3,369793
Lawrence of Arabia,1962,8.3,343149
Das Boot,1981,8.3,288979
Singin' in the Rain,1952,8.3,284003
A Separation,2011,8.3,278916
Incendies,2010,8.3,254523
Dangal,2016,8.3,245580
Like Stars on Earth,2007,8.3,234120
The Apartment,1960,8.3,221038
The Wolf of Wall Street,2013,8.2,1803738
Batman Begins,2005,8.2,1725389
Shutter Island,2010,8.2,1662277
The Truman Show,1998,8.2,1387098
Kill Bill: Vol. 1,2003,8.2,1314658
Finding Nemo,2003,8.2,1215476
No Country for Old Men,2007,8.2,1200378
Jurassic Park,1993,8.2,1186410
Reservoir Dogs,1992,8.2,1174577
The Sixth Sense,1999,8.2,1150842
Oppenheimer,2023,8.2,1064050
A Beautiful Mind,2001,8.2,1057777
Die Hard,1988,8.2,1033489
Taxi Driver,1976,8.2,1032681
Snatch,2000,8.2,979887
Prisoners,2013,8.2,944784
A Clockwork Orange,1971,8.2,939420
Top Gun: Maverick,2022,8.2,891651
Indiana Jones and the Last Crusade,1989,8.2,866461
Full Metal Jacket,1987,8.2,853942
Amélie,2001,8.2,842975
1917,2019,8.2,777225
Pan's Labyrinth,2006,8.2,749322
There Will Be Blood,2007,8.2,713189
Green Book,2018,8.2,693834
L.A. Confidential,1997,8.2,660531
Casino,1995,8.2,623186
The Thing,1982,8.2,529811
Howl's Moving Castle,2004,8.2,516612
Citizen Kane,1941,8.2,494327
Unforgiven,1992,8.2,469937
Vertigo,1958,8.2,460138
Project Hail Mary,2026,8.2,432314
Downfall,2004,8.2,401825
Gone with the Wind,1939,8.2,356800
To Kill a Mockingbird,1962,8.2,351701
Some Like It Hot,1959,8.2,305668
The Sting,1973,8.2,303510
For a Few Dollars More,1965,8.2,301586
The Elephant Man,1980,8.2,282505
The Great Escape,1963,8.2,278515
The Father,2020,8.2,247064
The Secret in Their Eyes,2009,8.2,243579
Klaus,2019,8.2,239359
The Wild Robot,2024,8.2,230621
Metropolis,1927,8.2,202019
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1333527
Catch Me If You Can,2002,8.1,1250783
V for Vendetta,2005,8.1,1250374
Mad Max: Fury Road,2015,8.1,1212237
Gone Girl,2014,8.1,1177245
"Monsters, Inc.",2001,8.1,1081511
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,1052822
Spider-Man: No Way Home,2021,8.1,1033390
The Terminator,1984,8.1,1009983
The Grand Budapest Hotel,2014,8.1,978048
Ratatouille,2007,8.1,953559
