lot_sale_year,auction_house,title,artist_name,object_type,pounds
1839,Christie's,"A rich equipage halting on the bank of a river, where fishermen are drawing their nets -- a convent upon a woody height; the figures elegantly grouped",K. du Jardin,Painting,14
1839,Christie's,"A breeze, with men-of-war and boats; a clear and beautiful picture",Backhuysen,Painting,13
1837,Enoch & Redfern,"A Mythological Subject, representing Apollo playing on a Lyre, with Cupids in accompaniment, painted in a fine effective manner, in the style of Rubens",Rubens,Painting,1
1803,Edwards (Edward),"This picture represents an Alchemist with other Figures; this valuable picture is well known by an engraving from it by Le Bas, and was purchased by a connoisseur of the first distinction as a true and original picture, for which a large sum was given",Teniers,Painting,18
1838,Christie's,A dance of cupids; admirably coloured,V. Dyck,Painting,12
1838,Christie's,Susannah & the elders,Dietrich,Painting,13
1838,Christie's,"A harbour-scene, with a royal yacht, vessels, boats, and figures -- calm; a beautiful picture, full of subject",Backhuyzen,Painting,35
1838,Christie's,"Interior of a Flemish cathedral, with figures by Francks",P. Neefs,Painting,25
1838,Christie's,"A river-scene, with buildings and figures; a brilliant specimen",V. der Neer,Painting,23
1838,Christie's,"A Dutch river near a town, with vessels and figures -- beautiful effect of twilight",V. der Neer,Painting,53
1838,Christie's,"A mountainous landscape, with classical figures; circular",G. Poussin,Painting,13
1838,Christie's,"A cavalier seated smoking, in conversation with a female, figures in another apartment; very richly coloured, and highly finished",Mieris,Painting,28
1838,Christie's,"A landscape, with a cascade and figures -- the companion",Claude,Painting,13
1838,Christie's,"A landscape, with a market-cart crossing a bridge; a charming subject",Wouvermans,Painting,44
1838,Christie's,"A grand landscape, with the ruins of a fortress and a waterfall; a mounted cavalier with sportsmen and dogs on a road; a warm evening effect",Pynacker,Painting,19
1838,Christie's,"Monks relieving beggars at the door of a convent; a beautiful gem, engraved",Wouvermans,Painting,31
1838,Christie's,"A Grand Italian Landscape, with buildings near a river; two mounted cavaliers are halting on a road, by the side of which are attendants with dogs; a group of trees under a rocky height are seen on the left.  This capital picture is illumined by a brilliant evening sun.  From the Collection of W. Smith, Esq., M.P.",Berghem,Painting,164
1840,Christie's,"The manege; numerous figures near a stable, and distant river-scene",J. Ostade,Painting,26
1836,Christie's,A woman at a cottage-door selling fruit to a pedlar; well coloured and highly finished,Van Tol,Painting,13
1836,Christie's,"An Italian sea-port, with figures and merchandise on a quay -- evening scene",Claude,Painting,27
1805,Coxe (Peter),View from Richmond Hill,Barrett,Painting,15
1805,Coxe (Peter),"Ditto [Landscape and Figures], the Companion",Zuccarelli,Painting,14
1805,Coxe (Peter),"Abraham, Isaac and Angel",Phil. de Champagne,Painting,19
1839,Christie's,"Cavaliers setting out from the entrance of a chateau, with distant view -- upright",Wouvermans,Painting,13
1839,Christie's,"Peasants keeping sheep and goats, in a meadow near a pool of a water, a distant view ssen to the left; coloured with magical effect of sunshine",Omeganck,Painting,19
1838,Christie's,"Pomona and Ceres, with cupids, in a woody landscape; the companion",Breughel,Painting,5
1838,Christie's,The Holy Family,Mignard,Painting,5
1838,Christie's,A lady seated at a table -- the companion,Netscher,Painting,3
1838,Christie's,"The Battle of Maxentius; a grand composition, of gallery size",Cav. D'Arpino,Painting,31
1838,Christie's,An embarkation of numerous oriental figures at a sea-port,Van der Meer,Painting,8
1838,Christie's,St. John and the lamb,Gainsborough,Painting,16
1836,Christie's,The notte; in a case,Correggio,Painting,37
1836,Christie's,Noli me tangere; highly finished,Domenichino,Painting,17
1836,Christie's,"Portrait of an Old Man with a beard, in a black dress edged with fur, and a gold chain round his neck, his right hand resting on the arm of his chair; a capital specimen, full of character, and admirably painted",Rembrandt,Painting,104
1836,Christie's,"A landscape, with figures dancing",Poelemborg,Painting,10
1836,Christie's,"A landscape, with a waterfall and figures",Zuccarelli,Painting,17
