Major,Division,2008-2012,2022-2025
Africana Studies,2,0,2
American Studies,2,10,12
Anthropology,2,8,4
Arabic Studies,1,4,4
Art,1,55,38
Asian Studies,1,8,0
Astronomy,3,1,0
Astrophysics,3,3,4
Biology,3,58,52
Chemistry,3,30,30
Chinese,1,11,8
Classics,1,5,6
Comparative Literature,1,5,12
Computer Science,3,16,59
East Asian Languages & Cultures,1,0,2
Economics,2,84,114
English,1,65,51
Environmental Policy,2,2,0
Environmental Science,3,0,0
Environmental Studies,2,0,17
French,1,6,11
Geosciences,3,7,12
German,1,4,3
History,2,61,50
Japanese,1,3,3
Literary Studies,1,3,0
Mathematics,3,53,62
Music,1,8,9
Philosophy,2,19,16
Physics,3,12,16
Political Economy,2,16,17
Political Science,2,58,47
Psychology,3,62,62
Religion,2,8,7
Russian,1,2,4
Sociology,2,9,10
Spanish,1,8,9
Statistics,3,0,18
Theatre,1,8,7
Women's & Gender Studies,2,5,10
